epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
245900410,NA,2020-09-23,337.2,144.8,250,100
245900410,NA,2020-09-24,323.9,145.1,250,100
245900410,NA,2020-09-25,311.7,144.6,250,100
245900410,NA,2020-09-26,317.3,142.9,250,100
245900410,NA,2020-09-27,307,147.6,250,100
245900410,NA,2020-09-28,310.2,155.7,250,100
245900410,NA,2020-09-29,278.5,166.4,250,100
245900410,NA,2020-09-30,276.8,179.8,250,100
245900410,NA,2020-10-01,286.1,209.3,250,100
245900410,NA,2020-10-02,299.4,250.3,250,100
245900410,NA,2020-10-03,310.1,257,250,100
245900410,NA,2020-10-04,321.8,259.6,250,100
245900410,NA,2020-10-05,331.7,285.5,250,100
245900410,NA,2020-10-06,355,314.1,250,100
245900410,NA,2020-10-07,384.5,329.9,250,100
245900410,NA,2020-10-08,418.9,343.3,250,100
245900410,NA,2020-10-09,449,359.5,250,100
245900410,NA,2020-10-10,484.1,384.2,250,100
245900410,NA,2020-10-11,504.4,399.6,250,100
245900410,NA,2020-10-12,547.9,451.6,250,100
245900410,NA,2020-10-13,580.2,463.3,250,100
245900410,NA,2020-10-14,617.7,496.8,250,100
245900410,NA,2020-10-15,654.4,543,250,100
